"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
Display Out of Stock Products,Display Out of Stock Products,module,Magento_CatalogInventory
Display Products Availability in Stock on Storefront,Display Products Availability in Stock on Storefront,module,Magento_CatalogInventory
Index stock,Index stock,module,Magento_CatalogInventory
Invalid stock id: %1. Only default stock with id %2 allowed,Invalid stock id: %1. Only default stock with id %2 allowed,module,Magento_CatalogInventory
Invalid stock item id: %1. Assigned stock item id is %2,Invalid stock item id: %1. Assigned stock item id is %2,module,Magento_CatalogInventory
Invalid stock item id: %1. Should be null or numeric value greater than 0,Invalid stock item id: %1. Should be null or numeric value greater than 0,module,Magento_CatalogInventory
Inventory,Inventory,module,Magento_CatalogInventory
Inventory Section,Inventory Section,module,Magento_CatalogInventory
Only X left Threshold,Only X left Threshold,module,Magento_CatalogInventory
Product Stock Options,Product Stock Options,module,Magento_CatalogInventory
Products will still be shown by direct product URLs.,Products will still be shown by direct product URLs.,module,Magento_CatalogInventory
Set Items' Status to be In Stock When Order is Cancelled,Set Items' Status to be In Stock When Order is Cancelled,module,Magento_CatalogInventory
Stock,Stock,module,Magento_CatalogInventory
Stock Options,Stock Options,module,Magento_CatalogInventory
Use Deferred Stock Update,Use Deferred Stock Update,module,Magento_CatalogInventory
You can buy %1 only in quantities of %2 at a time.,You can buy %1 only in quantities of %2 at a time.,module,Magento_CatalogInventory
The fewest you may purchase is %1.,أقل عدد يمكنك شراءه هو %1,module,Magento_CatalogInventory
The most you may purchase is %1.,أكثر ما يمكن شراءه هو %1,module,Magento_CatalogInventory
Manage Stock,إدارة المخزون,module,Magento_CatalogInventory
Add Minimum Qty,إضافة ادنى كمية,module,Magento_CatalogInventory
Minimum Qty,ادنى كمية,module,Magento_CatalogInventory
Use Config Settings,استخدام إعدادات التكوين,module,Magento_CatalogInventory
Product Name,اسم المنتج,module,Magento_CatalogInventory
Backorders,الأوامر المرتجعة,module,Magento_CatalogInventory
Notify for Quantity Below,التنبيه عن كمية منخفضة,module,Magento_CatalogInventory
Minimum Qty Allowed in Shopping Cart,الحد الأدنى من الكمية المسموح بها في سلة التسوق,module,Magento_CatalogInventory
Maximum Qty Allowed in Shopping Cart,الحد الأقصى من الكمية المسموح بها في سلة التسوق,module,Magento_CatalogInventory
Enable Qty Increments,السماح بزيادة الكمية,module,Magento_CatalogInventory
Allow Qty Below 0,السماح بكمية اقل من 0,module,Magento_CatalogInventory
Allow Qty Below 0 and Notify Customer,السماح بكمية اقل من 0 وتنبيه العميل,module,Magento_CatalogInventory
Allow Multiple Boxes for Shipping,السماح لصناديق متعددة للشحن,module,Magento_CatalogInventory
The stock item for Product is not valid.,العنصر المخزون عن المنتج غير صالح.,module,Magento_CatalogInventory
"Stock Item with id ""%1"" does not exist.","العنصر المعروف ب ""%1"" ليس موجودا",module,Magento_CatalogInventory
Qty Uses Decimals,الكمية تستخدم الكسور العشرية,module,Magento_CatalogInventory
"Stock with id ""%1"" does not exist.","المخزون المعروف ب ""%1"" غير موجود",module,Magento_CatalogInventory
"Product with SKU ""%1"" does not exist","المنتج المعرف ب ""%1"" ليس موجودا",module,Magento_CatalogInventory
Please correct the quantity for some products.,برجاء تصحيح الكمية لبض المنتجات,module,Magento_CatalogInventory
Some of the products are out of stock.,بعض المنتجات نفذت من المخزون.,module,Magento_CatalogInventory
Product availability,توافر المنتج,module,Magento_CatalogInventory
ALL GROUPS,جميع الفئات,module,Magento_CatalogInventory
Stock Status,حالة المخزون,module,Magento_CatalogInventory
Out-of-Stock Threshold,حد نفاذ المخزون,module,Magento_CatalogInventory
The stock item for Product in option is not valid.,خيار المنتج في المخزون غير صالح,module,Magento_CatalogInventory
Qty Increments,زيادة الكمية,module,Magento_CatalogInventory
"Unable to remove Stock Item with id ""%1""","غير قادر على حذف العنصر المعروف ب ""%1""",module,Magento_CatalogInventory
"Unable to remove Stock with id ""%1""","غير قادر على حذف المخزون المعروف ب ""%1""",module,Magento_CatalogInventory
Unable to remove Stock Status for product %1,غير قادر على حذف حالة الخزون للمنتج %1,module,Magento_CatalogInventory
Unable to save Stock,غير قادر على حفظ المخزون,module,Magento_CatalogInventory
Unable to save Stock Status,غير قادر على حفظ حالة المخزون,module,Magento_CatalogInventory
Unable to save Stock Item,غير قادر على حفظ عنصر المخزون,module,Magento_CatalogInventory
Only %1 left,فقط %1 متبقي,module,Magento_CatalogInventory
In Stock,في المخزون,module,Magento_CatalogInventory
Quantity,كمية,module,Magento_CatalogInventory
Qty,كمية,module,Magento_CatalogInventory
No Backorders,لا استرجاع للاوامر,module,Magento_CatalogInventory
Decimal qty increments is not allowed.,لا يسمح بزيادة الكمية العشرية.,module,Magento_CatalogInventory
Could not rebuild index for empty products array,لا يمكننا إعادة بناء مؤشر لمجموعة فارغة من المنتجات,module,Magento_CatalogInventory
"We don't have as many ""%1"" as you requested.","ليس لدينا عدد ""%1"" كما طلبت",module,Magento_CatalogInventory
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","ليس لدينا عدد ""%1"" كما طلبت, لذلك سوف نسترجع %2 المتبقي",module,Magento_CatalogInventory
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","ليس لدينا عدد ""%1"" كما طلبت, ولكن سوف نسترجع %2 المتبقي",module,Magento_CatalogInventory
Not all of your products are available in the requested quantity.,ليست جميع منتجاتك متوفرة بالكميات المطلوبة.,module,Magento_CatalogInventory
Customer Group,مجموعة العملاء,module,Magento_CatalogInventory
Advanced Inventory,مخزن متطور,module,Magento_CatalogInventory
We can't rebuild the index for an undefined product.,نحن لا نستطيع إعادة بناء مؤشر لمنتج غير معروف.,module,Magento_CatalogInventory
This product is out of stock.,نفد هذا المنتج من المخازن.,module,Magento_CatalogInventory
Out of Stock,نفذ من المخزون,module,Magento_CatalogInventory
Undefined product type,نوع المنتج غير معرف,module,Magento_CatalogInventory
You can buy this product only in quantities of %1 at a time.,يمكنك شراء هذا المنتج فقط في كميات من %1 في وقت واحد.,module,Magento_CatalogInventory
Active,Active,module,Magento_CatalogRule
Catalog Product Rule,Catalog Product Rule,module,Magento_CatalogRule
Catalog Rule Product,Catalog Rule Product,module,Magento_CatalogRule
Could not rebuild index for empty products array,Could not rebuild index for empty products array,module,Magento_CatalogRule
End,End,module,Magento_CatalogRule
Inactive,Inactive,module,Magento_CatalogRule
Indexed product/rule association,Indexed product/rule association,module,Magento_CatalogRule
Indexed rule/product association,Indexed rule/product association,module,Magento_CatalogRule
Percentage discount should be between 0 and 100.,Percentage discount should be between 0 and 100.,module,Magento_CatalogRule
Rule,Rule,module,Magento_CatalogRule
Rule Information,Rule Information,module,Magento_CatalogRule
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found.",module,Magento_CatalogRule
SKU,SKU,module,Magento_CatalogRule
Unable to remove rule %1,Unable to remove rule %1,module,Magento_CatalogRule
Unable to save rule %1,Unable to save rule %1,module,Magento_CatalogRule
Update product's %1 %2: %3,Update product's %1 %2: %3,module,Magento_CatalogRule
We can't rebuild the index for an undefined product.,We can't rebuild the index for an undefined product.,module,Magento_CatalogRule
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute.",module,Magento_CatalogRule
Actions,أعمال,module,Magento_CatalogRule
Start,إبدأ,module,Magento_CatalogRule
Unknown action.,إجراء غير معروف.,module,Magento_CatalogRule
Add New Rule,إضافة قاعدة جديدة,module,Magento_CatalogRule
Reset,إعادة تعيين,module,Magento_CatalogRule
To Fixed Value,إلى قيمة ثابتة,module,Magento_CatalogRule
To Percentage,إلى نسبة مئوية,module,Magento_CatalogRule
Promotions,الترقيات,module,Magento_CatalogRule
Conditions (don't add conditions if rule is applied to all products),الشروط (لا تضيف شروط إذا تم تطبيق القاعدة على جميع المنتجات),module,Magento_CatalogRule
Web Site,الموقع الإلكتروني,module,Magento_CatalogRule
Back,الى الخلف,module,Magento_CatalogRule
By Percentage,بواسطة النسبة المئوية,module,Magento_CatalogRule
Update the Product,تحديث المنتج,module,Magento_CatalogRule
Promo,ترويجي,module,Magento_CatalogRule
Apply Rules,تطبيق القاعدة,module,Magento_CatalogRule
Apply as fixed amount,تطبيق ككمية ثابتة,module,Magento_CatalogRule
